7zip 25.01-1
parted 3.6-2
paru-bin 2.1.0-1
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
pdftk 3.3.3-4
peg 0.1.19-1
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.79-2
perl-locale-gettext 1.07-16
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-dbus 1.2.0-8
perl-net-http 6.23-5
perl-text-iconv 1.7-26
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.32-2
perl-www-robotrules 6.02-15
perl-x11-protocol 0.56-17
perl-xml-parser 2.47-3
perl-xml-twig 3.54-2
perl-xml-writer 0.900-5
phodav 3.0-4
picom 12.5-3
pinentry 1.3.2-1
pipewire 1:1.4.7-1
pipewire-media-session 1:0.4.3-1
pixman 0.46.4-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
playerctl 2.4.1-4
plymouth 24.004.60-11
pnmixer 0.7.2-1
polkit 126-2
polkit-gnome 0.105-11
poppler 25.08.0-1
poppler-data 0.4.12-2
poppler-glib 25.08.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 17.5-5
potrace 1.16-3
powerline 2.8.4-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
procs 0.14.10-1
protobuf 31.1-2
prrte 3.0.11-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pulseaudio-jack 17.0+r43+g3e2bb8a1e-1
pulseaudio-zeroconf 17.0+r43+g3e2bb8a1e-1
python 3.13.7-1
python-annotated-types 0.7.0-2
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-asttokens 3.0.0-1
python-atomicwrites 1.4.1-5
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-beautifulsoup4 4.13.4-1
python-bitarray 3.5.2-1
python-bitstring 4.3.1-1
python-blessed 1.21.0-2
python-bowler 0.9.0-9
python-build 1.3.0-1
python-cachecontrol 1:0.14.3-1
python-cachy 0.3.0-11
python-cairo 1.28.0-1
python-cairocffi 1.7.1-1
python-certifi 2025.08.03-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.3-1
python-cleo 1:2.1.0-1
python-click 8.2.1-1
python-click-log 0.4.0-5
python-colorama 0.4.6-5
python-configobj 5.0.9-5
python-contourpy 1.3.3-1
python-coverage 7.10.3-1
python-crashtest 0.4.1-4
python-cryptography 45.0.5-1
python-cssselect 1.2.0-8
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-dbus-next 0.2.3-6
python-decorator 5.2.1-1
python-defusedxml 0.7.1-7
python-distlib 0.3.9-2
python-distro 1.9.0-3
python-dulwich 0.24.1-1
python-ecdsa 0.19.1-1
python-enlighten 1.14.1-1
python-executing 2.2.0-1
python-fastjsonschema 2.21.1-1
python-filelock 3.18.0-1
python-findpython 0.7.0-1
python-fissix 24.4.24-1
python-fonttools 4.59.0-1
python-gobject 3.52.3-3
python-greenlet 3.2.4-1
python-html5lib 1.1-15
python-hypothesis 6.136.2-1
python-icalendar 6.3.1-1
python-idna 3.10-2
python-importlib-metadata 8.7.0-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-intelhex 2.3.0-8
python-ipython-pygments-lexers 1.1.1-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jeepney 0.9.0-1
python-jsonschema 4.25.0-1
python-jsonschema-specifications 2025.4.1-1
python-keyring 25.6.0-1
python-kiwisolver 1.4.7-1
python-lark-parser 1.2.2-3
python-lockfile 0.12.2-14
python-lxml 6.0.0-2
python-mako 1.3.10-1
python-markdown 3.8.2-1
python-markdown-it-py 4.0.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.5-1
python-matplotlib-inline 0.1.7-2
python-mdurl 0.1.2-8
python-more-itertools 10.7.0-1
python-moreorless 0.5.0-1
python-msgpack 1.0.5-3
python-mypy_extensions 1.0.0-5
python-numpy 2.3.2-1
python-ordered-set 4.1.0-7
python-orjson 3.11.2-1
python-packaging 25.0-1
python-parso 1:0.8.4-3
python-pathspec 0.12.1-3
python-pbs-installer 2025.08.14-1
python-pexpect 4.9.0-4
python-pillow 11.3.0-1
python-pkginfo 1.12.1.2-1
python-platformdirs 4.3.8-1
python-pluggy 1.6.0-1
python-ply 3.11-15
python-poetry 2.1.2-1
python-poetry-core 2.1.3-1
python-poetry-plugin-export 1.9.0-1
python-prefixed 0.9.0-2
python-prompt_toolkit 3.0.51-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-pycparser 2.22-3
python-pycryptodome 3.23.0-1
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pygments 2.19.2-1
python-pynvim 0.5.2-1
python-pyparsing 3.2.3-1
python-pyproject-hooks 1.2.0-3
python-pyrsistent 0.20.0-7
python-pyserial 3.5-7
python-pytest 1:8.4.1-1
python-pytz 2025.2-1
python-pywayland 0.4.18-2
python-pywlroots 0.17.0-4
python-pyxdg 0.28-4
python-rapidfuzz 3.12.2-1
python-reedsolo 1.7.0-4
python-referencing 0.36.2-1
python-requests 2.32.4-1
python-requests-toolbelt 1.0.0-3
python-rich 14.1.0-1
python-rich-click 1.8.9-1
python-rpds-py 0.27.0-1
python-secretstorage 3.3.3-6
python-setuptools 1:80.9.0-1
python-setuptools-scm 8.3.1-1
python-shellingham 1.5.4-3
python-six 1.17.0-1
python-sortedcontainers 2.4.0-7
python-soupsieve 2.7-1
python-stack-data 0.6.3-4
python-systemd 235-4
python-sysv_ipc 1.1.0-6
python-tinycss2 1.4.0-2
python-tomli 2.2.1-1
python-tomlkit 0.13.3-1
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-trove-classifiers 2025.8.6.13-1
python-typeguard 4.4.4-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.14.1-1
python-tzdata 2025.2-1
python-tzlocal 1:5.3.1-1
python-ujson 5.10.0-2
python-urllib3 2.5.0-1
python-urwid 3.0.2-1
python-userpath 1.9.2-3
python-validate-pyproject 0.24.1-1
python-virtualenv 20.28.0-1
python-volatile 2.1.0-6
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-xcffib 1.5.0-2
python-xkbcommon 1.5.1-2
python-xmltodict 0.14.2-1
python-xvfbwrapper 0.2.13-1
python-yaml 6.0.2-2
python-zipp 3.21.0-2
python-zstandard 0.23.0-3
qhull 2020.2-5
qpdf 12.2.0-1
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-location 5.15.17+kde+r7-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-2
qt5-websockets 5.15.17+kde+r2-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-5
qt6-declarative 6.9.1-2
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-svg 6.9.1-1
qt6-tools 6.9.1-2
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qtermwidget 2.2.0-1
qtile 0.33.0-1
qtile-extras 0.33.0-1
qtkeychain-qt5 0.15.0-3
ragel 6.10-4
range-v3 0.12.0-2
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-5
read-edid 3.0.2-5
readline 8.3.001-1
realtime-privileges 4-3
recordmydesktop 0.4.0-4
redland 1:1.0.17-9
reflector 2023-3
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rnnoise 1:0.2-1
rofi 1.7.9.1-1
rofi-emoji 4.1.0-2
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
ruby 3.4.5-1
ruby-abbrev 0.1.2-1
ruby-addressable 2.8.7-2
ruby-afm 0.2.2-6
ruby-ascii85 2.0.1-4
ruby-base64 0.2.0-1
ruby-bigdecimal 3.1.9-1
ruby-bundled-gems 3.4.5-1
ruby-bundler 2.7.1-1
ruby-concurrent 1.3.4-4
ruby-css_parser 1.21.1-3
ruby-csv 3.3.2-1
ruby-debug 1.11.0-1
ruby-default-gems 3.4.5-1
ruby-drb 2.2.1-1
ruby-erb 4.0.4-9
ruby-getoptlong 0.2.1-1
ruby-hashery 2.1.2-6
ruby-irb 1.14.3-4
ruby-matrix 0.4.2-4
ruby-minitest 5.25.5-2
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.8-1
ruby-net-imap 0.5.8-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.0-5
ruby-nkf 0.2.0-2
ruby-observer 0.1.2-3
ruby-pdf-core 0.10.0-4
ruby-pdf-reader 2.14.1-3
ruby-polyglot 0.3.5-12
ruby-power_assert 2.0.5-3
ruby-prawn 2.5.0-6
ruby-prawn-icon 4.1.0-3
ruby-prawn-svg 0.37.0-3
ruby-prawn-table 0.2.2-12
ruby-prawn-templates 0.1.2-11
ruby-prime 0.1.3-1
ruby-public_suffix 6.0.2-1
ruby-racc 1.8.1-2
ruby-rake 13.2.1-5
ruby-rbs 3.8.0-2
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.11-1
ruby-resolv-replace 0.1.1-2
ruby-rexml 3.4.1-3
ruby-rinda 0.2.0-2
ruby-rss 0.3.1-4
ruby-ruby-rc4 0.1.5-6
ruby-stdlib 3.4.5-1
ruby-syslog 0.3.0-2
ruby-test-unit 3.6.8-1
ruby-treetop 1.6.14-3
ruby-ttfunk 1.8.0-5
ruby-typeprof 0.30.1-2
rubygems 3.6.9-1
runc 1.3.0-1
rustup 1.28.2-3
sac-core 10.9.4723-1
samba 2:4.22.3-1
satty 0.19.0-1
sbc 2.1-1
scdoc 1.11.3-1
scons 4.9.1-3
scour 0.38.2-5
screenkey 1.5-6
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-2
sdl2_ttf 2.24.0-1
sdl3 3.2.20-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
sfml 3.0.1-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
sheldon 0.8.5-1
simdjson 1:3.13.0-1
simplescreenrecorder 0.4.4-4
skim 0.20.5-1
slang 2.3.3-4
slurp 1.5.0-1
smbclient 2:4.22.3-1
smem 1.5-8
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.0.3-2
sof-firmware 2025.05-1
sops 3.10.2-2
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-tools 1:1.4.321.0-1
sqlite 3.50.4-1
squid 7.1-1
sratom 0.6.18-1
srt 1.5.4-1
sshfs 3.7.3-3
starship 1.23.0-1
startup-notification 0.12-8
steam-devices-git v1.0.0.61.r44.1344348-1
stoken 0.92-5
stow 2.4.1-1
sudo 1.9.17.p1-1
suitesparse 7.11.0-1
svt-av1 3.1.0-1
systemd 257.8-2
systemd-libs 257.8-2
systemd-sysvcompat 257.8-2
taglib 2.1.1-1
tailspin 5.4.5-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.14-1
tecla 48.0.2-1
telepathy-glib 0.24.2-4
terminus-font 4.49.1-8
termscp 0.18.0-1
terraform 1.12.1-1
tevent 1:0.17.1-1
texinfo 7.2-1
thin-provisioning-tools 1.2.0-1
tidy 5.8.0-3
tinysparql 3.9.2-2
tk 8.6.16-1
tokei 12.1.2-2
tomlplusplus 3.4.0-1
topgrade-bin 16.0.4-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
transmission-gtk 4.0.6-10
tree-sitter 0.25.8-1
tree-sitter-bash 0.25.0-1
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.8-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-python 0.23.6-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttc-iosevka 33.2.7-1
ttf-fira-mono 2:3.206-4
ttf-jetbrains-mono 2.304-2
ttf-joypixels 9.0.0-1
ttf-liberation 2.1.5-2
ttf-monaco 6.1-7
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-roboto 3.011-1
ttf-roboto-mono 3.001-1
ttf-symbola 14.00-2
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-victor-mono 1.5.6-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udftools 2.3-2
udisks2 2.10.1-6
unarchiver 1.10.8-5
unibilium 2.1.2-1
unzip 6.0-23
upower 1.90.9-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 018-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
uv 0.8.11-1
v4l-utils 1.30.1-1
vala 0.56.18-4
vapoursynth 72-1
vi 1:070224-6
vid.stab 1.1.1-2
vim 9.1.1623-1
vim-runtime 9.1.1623-1
vinagre 1:3.22.0+r160+gc86e114-4
visual-studio-code-bin 1.103.1-1
vmaf 3.0.0-1
volume_key 0.3.12-11
vpnc 1:0.5.3.r539.r239-1
vte-common 0.80.3-1
vte3 0.80.3-1
vulkan-extra-tools 1.4.321.0-1
vulkan-headers 1:1.4.321.0-1
vulkan-icd-loader 1.4.321.0-1
vulkan-tools 1.4.321.0-1
vulkan-utility-libraries 1.4.321.0-1
vulkan-validation-layers 1.4.321.0-1
wallutils 5.14.2-3
warp-terminal-bin 0.2025.07.30.08.12.stable_02-1
wavpack 5.8.1-1
waybar 0.14.0-1
wayfire 0.9.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk-4.1 2.48.5-1
webkitgtk-6.0 2.48.5-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-5
weston 14.0.2-1
wezterm 20240203.110809.5046fc22-2
wf-config 0.9.0-2
wget 1.25.0-2
which 2.23-1
wl-clipboard 1:2.2.1-3
wlr-protocols r107.ffb89ac-1
wlroots0.17 0.17.4-3
wlroots0.18 0.18.2-1
wmctrl 1.07-6
woff2 1.0.2-6
wpa_supplicant 2:2.11-3
wpebackend-fdo 1.16.0-1
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xbindkeys 1.8.7-5
xbitmaps 1.1.3-2
xboxdrv 0.8.14-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-synaptics 1.10.0-1
xf86-input-vmmouse 13.2.0-2
xf86-input-void 1.4.2-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-dummy 0.4.1-2
xf86-video-fbdev 0.5.1-1
xf86-video-qxl 0.1.6-2
xf86-video-vesa 2.6.0-2
xf86-video-vmware 13.4.0-4
xf86-video-voodoo 1.2.6-2
xfce4-notifyd 0.9.7-1
xfce4-panel 4.20.5-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfconf 4.20.0-2
xh 0.24.1-1
xkeyboard-config 2.45-1
xmlsec 1.3.7-2
xorg-appres 1.0.7-1
xorg-bdftopcf 1.1.2-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcalc 1.1.2-2
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xeyes 1.3.1-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.8-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xscreensaver 6.10.1-1
xsel 1.2.1-2
xss-lock 0.3.0.r30.gac39fdc-1
xterm 401-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yarn 1.22.22-2
yay 12.5.0-1
yazi 25.5.31-2
yelp-tools 42.1-2
yelp-xsl 42.4-1
yq 3.4.3-2
yt-dlp 2025.07.21-1
yyjson 0.11.1-1
zed 0.199.6-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zita-convolver 4.0.3-4
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsh 5.9-5
zstd 1.5.7-2
zxing-cpp 2.3.0-5
